0	-65.0		40.0		1434		782		5.08		3C18
1	-40.0		20.0		1279		906		2.74		3C33-1
2	-70.0		55.0		1465		689		2.77		3C33
3	-27.0		23.0		1198		888		2.82		3C33-2
4	-35.0		24.0		1248		882		5.96		3C64
5	-33.0		25.0		1236		875		7.39		3C75-1
6	-60.0		34.0		1403		819		7.31		3C75
7	-40.0		25.0		1279		875		7.64		3C75-2
8	-60.0		40.0		1403		782		8.89		3C78
9	-30.0		25.0		1217		875		8.47		3C79
10	-30.0		25.0		1217		875		8.65		CTA21
11	-38.0		27.0		1267		863		9.82		P0320+05
12	-63.0		30.0		1422		844		10.78		NRAO140
13	-65.0		30.0		1434		844		9.45		3C93.1
14	-30.0		28.0		1217		857		11.18		P0347+05
15	-40.0		40.0		1279		782		9.61		3C98-1
16	-30.0		35.0		1217		813		9.73		3C98
17	-30.0		40.0		1217		782		9.33		3C98-2
18	-30.0		33.0		1217		826		9.35		3C105
19	-40.0		34.0		1279		819		13.72		3C109
20	-50.0		35.0		1341		813		17.34		P0428+20
21	-55.0		35.0		1372		813		9.25		3C120
22	-90.0		35.0		1589		813		15.49		3C123
23	-80.0		40.0		1527		782		21.94		3C131
24	-80.0		45.0		1527		751		19.66		3C132
25	-80.0		40.0		1527		782		23.16		3C133
26	-70.0		40.0		1465		782		17.17		3C138
27	-63.0		38.0		1422		795		40.16		3C141.0
28	-50.0		40.0		1341		782		30.5		T0526+24
29	-30.0		47.0		1217		739		16.91		3C142.1
30	-48.0		42.0		1329		770		21.86		P0531+19
31	-38.0		45.0		1267		751		45.52		T0556+19
32	-50.0		46.0		1341		745		40.07		4C22.12
33	-60.0		47.0		1403		739		31.26		3C154
34	-78.0		60.0		1515		658		44.36		T0629+10
35	-50.0		85.0		1341		503		42.21		3C167
36	-80.0		50.0		1527		720		7.41		3C172.0
37	-40.0		50.0		1279		720		2.39		DW0742+10
38	-40.0		60.0		1279		658		2.89		3C190.0
39	-80.0		54.0		1527		695		3.89		3C192
40	-65.0		65.0		1434		627		4.15		P0820+22
41	-40.0		50.0		1279		720		4.86		3C207
42	-50.0		55.0		1341		689		2.99		3C208.0
43	-50.0		55.0		1341		689		2.73		3C208.1
44	-60.0		35.0		1403		813		1.02		3C223
45	-85.0		50.0		1558		720		3.29		3C225a
46	-70.0		50.0		1465		720		3.2		3C225b
47	-50.0		45.0		1341		751		2.62		3C228.0
48	-100.0		50.0		1652		720		1.61		3C234
49	-80.0		52.0		1527		708		1.16		3C236
50	-80.0		80.0		1527		534		1.96		3C237
51	-65.0		40.0		1434		782		2.09		3C245
52	-80.0		55.0		1527		689		1.54		P1055+20
53	-78.0		20.0		1515		906		1.51		P1117+14
54	-90.0		26.0		1589		869		1.64		3C263.1
55	-80.0		20.0		1527		906		1.73		3C264.0
56	-77.0		34.0		1509		819		2.28		3C267.0
57	-75.0		27.0		1496		863		2.38		3C272.1
58	-73.0		100.0		1484		410		1.99		3C273
59	-67.0		50.0		1447		720		2.24		3C274.1
60	-50.0		20.0		1341		906		2.04		4C07.32
61	-60.0		40.0		1403		782		1.11		4C32.44
62	-75.0		72.0		1496		583		2.07		3C286
63	-72.0		50.0		1478		720		1.27		3C293
64	-50.0		25.0		1341		875		2.58		4C19.44
65	-80.0		30.0		1527		844		2.64		4C20.33
66	-80.0		40.0		1527		782		3.42		3C310
67	-45.0		42.0		1310		770		4.04		3C315
68	-85.0		35.0		1558		813		4.14		3C318
69	-80.0		40.0		1527		782		4.43		3C333
70	-40.0		65.0		1279		627		5.2		3C348
71	-75.0		65.0		1496		627		8.67		3C353
72	-60.0		70.0		1403		596		8.51		4C13.65
73	-107.0		85.0		1695		503		13.48		4C13.67
74	-100.0		55.0		1652		689		20.81		3C409
75	-105.0		50.0		1683		720		38.31		3C410
76	-80.0		60.0		1527		658		7.65		3C433
77	-80.0		55.0		1527		689		5.19		3C454.0
78	-80.0		55.0		1527		689		6.26		3C454.3
