#	src		l		b		ra_icrs		dec_icrs	ra_j2000	dec_j2000	OH
===========================================================================================================================
0	3C18		118.6218	-52.7266	10.21		10.0565		00h40m50.4	00h40m50.4	1
1	3C33		129.4481	-49.3244	17.2189		13.3266		01h08m52.5	01h08m52.5	0
2	3C64		157.7658	-48.2032	35.4955		8.4495		02h21m58.9	02h21m58.9	0
3	3C78		174.8581	-44.5130	47.1096		4.1111		03h08m26.3	03h08m26.3	0
4	3C98		179.8374	-31.0490	59.7303		10.4365		03h58m55.3	03h58m55.3	0
5	3C109		181.8280	-27.7769	63.4188		11.2027		04h13m40.5	04h13m40.5	1
6	3C120		190.3728	-27.3973	68.2958		5.3542		04h33m11.0	04h33m11.0	0
7	3C132		178.8598	-12.5219	74.1796		22.8226		04h56m43.1	04h56m43.1	1
8	3C138		187.4052	-11.3437	80.2912		16.6392		05h21m09.9	05h21m09.9	0
9	3C142.1		197.6157	-14.5115	82.8721		6.5073		05h31m29.3	05h31m29.3	0
10	P0531+19	186.7634	-7.1085		83.6858		19.4541		05h34m44.6	05h34m44.6	1
11	3C192		197.9126	26.4098		121.3943	24.166		08h05m34.6	08h05m34.6	0
12	3C237		232.1174	46.6276		152.0005	7.5045		10h08m00.1	10h08m00.1	0
13	3C245		233.1247	56.3009		160.6863	12.0587		10h42m44.7	10h42m44.7	0
14	P1055+20	222.5101	63.1302		164.574		19.8661		10h58m17.8	10h58m17.8	0
15	3C273		289.9484	64.3586		187.2766	2.0513		12h29m06.4	12h29m06.4	0
16	3C274.1		269.8744	83.1637		188.8621	21.3431		12h35m26.9	12h35m26.9	0
17	3C310		38.5004		60.2098		226.2428	26.0166		15h04m58.3	15h04m58.3	0
18	3C315		39.3605		58.3030		228.418		26.1247		15h13m40.3	15h13m40.3	0
19	3C318		29.9821		54.7856		230.7254	20.2507		15h22m54.1	15h22m54.1	0
20	3C333		37.3001		42.9721		244.3151	21.1258		16h17m15.6	16h17m15.6	0
21	3C348		22.9710		29.1769		252.5484	5.0418		16h50m11.6	16h50m11.6	0
22	4C13.65		39.3151		17.7180		269.6293	13.4751		17h58m31.0	17h58m31.0	0
23	3C409		63.3985		-6.1223		303.6158	23.5813		20h14m27.8	20h14m27.8	1
24	3C433		74.4772		-17.6950	320.9364	25.0702		21h23m44.7	21h23m44.7	0
25	3C454.0		88.1001     	-35.9413	343.6001	18.8934		22h54m24.0	22h54m24.0	0
