#  src  	l	   b	     N(HI)  nhi_er  N(H)_from_dust   nh_er
                deg        deg       [e20]   [e20]  [e20]             [e20]
--------------------------------------------------------------------------------
0  3C33		129.4481  -49.3244   2.78   0.04   2.56   0.92
1  3C18		118.6218  -52.7266   5.99   0.95   12.31   4.4
2  3C141.0	174.5324  -01.3112   52.69   1.48   62.39   22.28
3  3C142.1	197.6157  -14.5115   21.96   2.3   24.92   8.91
4  3C138	187.4052  -11.3437   19.84   0.99   25.07   8.96
5  3C75-2	170.2958  -44.9192   8.23   0.21   14.15   5.06
6  3C75-1	170.2162  -44.9112   7.97   0.2   12.94   4.63
7  3C409	063.3985  -06.1223   25.81   1.12   52.56   18.78
8  3C33-1	129.4392  -49.3432   2.81   0.12   2.61   0.93
9  3C79		164.1487  -34.4565   9.37   1.03   10.99   3.93
10  3C78	174.8581  -44.5130   10.06   0.46   14.24   5.09
11  3C98-1	179.8593  -31.0859   10.37   0.34   15.52   5.55
12  3C75	170.2558  -44.9111   7.89   0.18   13.17   4.71
13  T0526+24	181.3551  -05.1933   96.85   65.03   92.44   33.03
14  3C133	177.7258  -09.9125   28.5   1.51   76.7   27.4
15  3C132	178.8598  -12.5219   23.81   1.28   36.62   13.09
16  3C131	171.4368  -07.7967   28.55   1.64   68.05   24.32
17  3C310	038.5004  060.2098   3.71   0.1   4.18   1.5
18  3C315	039.3605  058.3030   4.77   0.38   4.65   1.66
19  3C109	181.8280  -27.7769   20.82   1.0   42.7   15.26
20  3C234	200.2050  052.7049   1.61   0.04   1.07   0.38
21  3C236	190.0640  053.9808   1.21   0.04   0.85   0.31
22  3C237	232.1174  046.6276   2.2   0.08   2.5   0.89
23  3C154	185.5932  004.0030   35.58   1.4   63.91   22.83
24  3C228.0	220.8313  046.6355   2.61   0.04   2.93   1.05
25  4C22.12	188.0524  000.0470   85.23   15.23   78.82   28.16
26  NRAO140	159.0002  -18.7646   29.49   18.23   42.24   15.11
27  3C318	029.9821  054.7856   4.75   0.15   5.42   1.94
28  3C64	157.7658  -48.2032   6.33   0.18   7.42   2.65
29  3C454.0	088.1001  -35.9413   5.38   0.11   4.7   1.68
30  P0531+19	186.7634  -07.1085   23.84   0.65   25.54   9.12
31  3C454.3	086.1110  -38.1833   6.53   0.13   8.16   2.93
32  3C33-2	129.4620  -49.2774   2.92   0.15   2.47   0.88
33  P0820+22	201.3636  029.6761   4.23   0.21   3.91   1.4
34  3C333	037.3001  042.9721   5.09   0.33   6.69   2.39
35  3C192	197.9126  026.4098   3.97   0.04   4.76   1.7
36  3C98	179.8374  -31.0490   11.02   0.41   15.95   5.7
37  3C273	289.9484  064.3586   1.93   0.02   1.55   0.56
38  3C267.0	256.3418  070.1102   2.33   0.03   1.88   0.67
39  DW0742+10	209.7960  016.5911   2.43   0.04   2.01   0.72
40  P1055+20	222.5101  063.1302   1.57   0.04   1.4   0.5
41  3C433	074.4772  -17.6950   7.89   0.15   9.82   3.51
42  3C172.0	191.2045  013.4105   7.71   0.14   6.42   2.29
43  P0428+20	176.8082  -18.5568   23.89   2.47   40.55   14.49
44  4C19.44	008.9924  073.0418   2.65   0.04   4.47   1.6
45  3C353	021.1108  019.8770   10.85   0.79   31.9   11.4
46  3C167	207.3119  001.1529   50.24   2.41   61.06   21.81
47  3C293	054.6071  076.0603   1.28   0.05   1.66   0.59
48  3C98-2	179.8288  -31.0241   10.25   0.4   16.08   5.75
49  3C105	187.6326  -33.6090   14.68   1.47   41.42   14.8
50  3C120	190.3728  -27.3973   15.94   1.87   30.98   11.07
51  CTA21	166.6357  -33.5961   9.56   0.31   11.79   4.22
52  3C123	170.5815  -11.6608   27.38   3.38   76.71   27.41
53  4C20.33	020.1848  066.8341   2.69   0.05   1.56   0.56
54  T0556+19	190.0893  -02.1665   53.63   31.9   127.14   45.42
55  P1117+14	240.4380  065.7884   1.57   0.02   1.63   0.58
56  3C264.0	236.9959  073.6422   1.73   0.03   1.61   0.58
57  3C208.1	213.6015  033.5830   2.76   0.05   3.66   1.31
58  3C208.0	213.6628  033.1608   2.99   0.04   3.88   1.39
59  4C32.44	067.2401  081.0438   1.05   0.03   0.83   0.3
60  3C263.1	228.2701  074.3753   1.68   0.05   1.37   0.49
61  3C225b	220.0116  044.0083   3.28   0.06   5.92   2.12
62  3C410	069.2090  -03.7684   48.22   3.47   95.85   34.25
63  P0347+05	182.2737  -35.7311   13.45   0.76   24.83   8.87
64  3C272.1	280.6321  074.6873   2.39   0.03   1.87   0.67
65  3C225a	219.8664  044.0247   3.4   0.14   4.19   1.5
66  4C07.32	322.2286  068.8350   2.11   0.03   2.73   0.98
67  3C245	233.1247  056.3009   2.03   0.03   2.68   0.96
68  3C93.1	160.0361  -15.9147   12.32   1.04   26.63   9.52
69  3C348	022.9710  029.1769   5.69   0.16   6.97   2.49
70  4C13.67	043.4971  009.1540   16.72   0.87   54.46   19.46
71  3C286	056.5295  080.6740   2.04   0.09   0.83   0.3
72  4C13.65	039.3151  017.7180   9.16   0.14   13.59   4.86
73  3C190.0	207.6242  021.8412   2.82   0.04   2.62   0.94
74  P0320+05	176.9818  -40.8433   11.2   0.48   17.82   6.37
75  3C274.1	269.8744  083.1637   2.36   0.04   2.87   1.02
76  3C207	212.9680  030.1390   5.25   0.15   12.19   4.36
77  T0629+10	201.5315  000.5079   59.25   2.86   451.7   161.35
